Month,Dollar store near me: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,1
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,<1
2011-07,0
2011-08,<1
2011-09,<1
2011-10,0
2011-11,0
2011-12,1
2012-01,<1
2012-02,<1
2012-03,<1
2012-04,<1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,1
2013-04,1
2013-05,1
2013-06,2
2013-07,2
2013-08,3
2013-09,4
2013-10,5
2013-11,6
2013-12,8
2014-01,3
2014-02,3
2014-03,5
2014-04,5
2014-05,5
2014-06,5
2014-07,5
2014-08,6
2014-09,6
2014-10,8
2014-11,6
2014-12,7
2015-01,4
2015-02,5
2015-03,6
2015-04,6
2015-05,12
2015-06,15
2015-07,18
2015-08,19
2015-09,17
2015-10,21
2015-11,19
2015-12,31
2016-01,17
2016-02,19
2016-03,22
2016-04,24
2016-05,28
2016-06,31
2016-07,35
2016-08,29
2016-09,29
2016-10,34
2016-11,30
2016-12,48
2017-01,27
2017-02,33
2017-03,30
2017-04,40
2017-05,43
2017-06,52
2017-07,57
2017-08,52
2017-09,48
2017-10,57
2017-11,52
2017-12,68
2018-01,40
2018-02,45
2018-03,51
2018-04,50
2018-05,56
2018-06,61
2018-07,67
2018-08,66
2018-09,62
2018-10,64
2018-11,62
2018-12,83
2019-01,46
2019-02,32
2019-03,39
2019-04,53
2019-05,74
2019-06,84
2019-07,82
2019-08,80
2019-09,72
2019-10,78
2019-11,75
2019-12,100
2020-01,61
2020-02,62
2020-03,76
2020-04,62
2020-05,71
2020-06,78
2020-07,78
2020-08,75
2020-09,67
2020-10,78
2020-11,75
2020-12,96
2021-01,57
2021-02,62
2021-03,55
2021-04,60
2021-05,70
2021-06,73
2021-07,74
2021-08,72
2021-09,65
2021-10,69
2021-11,74
2021-12,86
2022-01,49
2022-02,60
2022-03,53
2022-04,59
2022-05,63
2022-06,69
2022-07,71
2022-08,63
2022-09,60
2022-10,63
2022-11,60
2022-12,75
2023-01,42
2023-02,49
2023-03,48
2023-04,52
2023-05,56
2023-06,61
2023-07,58
2023-08,51
2023-09,46
2023-10,48
2023-11,48
2023-12,61
2024-01,34
2024-02,34
2024-03,37
2024-04,35
2024-05,39
2024-06,43
2024-07,38
2024-08,39
2024-09,36
2024-10,35
2024-11,37
2024-12,37
